years,length_ref
1880,6449.400000000001
1881,6479.400000000001
1882,
1883,
1884,
1885,
1886,
1887,
1888,
1889,
1890,
1891,
1892,
1893,
1894,6530.400000000001
1895,6540.400000000001
1896,6537.400000000001
1897,6561.400000000001
1898,6566.400000000001
1899,6563.400000000001
1900,6575.400000000001
1901,6569.400000000001
1902,6569.400000000001
1903,6587.400000000001
1904,6575.400000000001
1905,6543.400000000001
1906,6530.400000000001
1907,6487.400000000001
1908,6453.400000000001
1909,6437.400000000001
1910,6426.400000000001
1911,6426.400000000001
1912,6446.400000000001
1913,6463.400000000001
1914,6501.400000000001
1915,
1916,6563.400000000001
1917,6593.400000000001
1918,6656.400000000001
1919,6676.400000000001
1920,6721.400000000001
1921,6734.400000000001
1922,6739.400000000001
1923,6741.400000000001
1924,6739.400000000001
1925,6724.400000000001
1926,6714.400000000001
1927,6708.400000000001
1928,6698.400000000001
1929,6688.400000000001
1930,6647.400000000001
1931,6628.400000000001
1932,6599.400000000001
1933,6587.400000000001
1934,
1935,6519.400000000001
1936,6505.400000000001
1937,6488.400000000001
1938,6458.400000000001
1939,
1940,
1941,
1942,6420.400000000001
1943,6416.400000000001
1944,
1945,6392.400000000001
1946,6386.400000000001
1947,6363.400000000001
1948,6357.400000000001
1949,
1950,6306.400000000001
1951,6306.400000000001
1952,
1953,6239.400000000001
1954,6228.400000000001
1955,
1956,
1957,
1958,
1959,6086.400000000001
1960,6095.400000000001
1961,6111.400000000001
1962,6107.400000000001
1963,6118.400000000001
1964,6122.400000000001
1965,6132.400000000001
1966,6147.400000000001
1967,6177.400000000001
1968,6207.400000000001
1969,6232.400000000001
1970,6272.400000000001
1971,6322.400000000001
1972,6390.400000000001
1973,6430.400000000001
1974,6465.400000000001
1975,6482.400000000001
1976,6482.400000000001
1977,6494.400000000001
1978,6500.400000000001
1979,6507.400000000001
1980,6514.400000000001
1981,6536.400000000001
1982,6601.400000000001
1983,6637.400000000001
1984,6637.400000000001
1985,6662.400000000001
1986,6647.400000000001
1987,6663.400000000001
1988,6661.400000000001
1989,6641.400000000001
1990,6632.400000000001
1991,6579.400000000001
1992,6529.400000000001
1993,6469.400000000001
1994,6407.400000000001
1995,6400.400000000001
1996,6330.400000000001
1997,6320.400000000001
1998,6305.400000000001
1999,6280.400000000001
2000,
2001,
2002,
2003,
2004,
2005,
2006,
2007,
2008,
2009,6030.400000000001
2010,
2011,
2012,5755.400000000001
2013,
2014,5743.8
2015,5745.8
2016,5703.8
2017,5705.1
