years,glamos
1880,-1.0
1881,29.0
1894,80.0
1895,90.0
1896,87.0
1897,111.0
1898,116.0
1899,113.0
1900,125.0
1901,119.0
1902,119.0
1903,137.0
1904,125.0
1905,93.0
1906,80.0
1907,37.0
1908,3.0
1909,-13.0
1910,-24.0
1911,-24.0
1912,-4.0
1913,13.0
1914,51.0
1916,113.0
1917,143.0
1918,206.0
1919,226.0
1920,271.0
1921,284.0
1922,289.0
1923,291.0
1924,289.0
1925,274.0
1926,264.0
1927,258.0
1928,248.0
1929,238.0
1930,197.0
1931,178.0
1932,149.0
1933,137.0
1935,69.0
1936,55.0
1937,38.0
1938,8.0
1942,-30.0
1943,-34.0
1945,-58.0
1946,-64.0
1947,-87.0
1948,-93.0
1950,-144.0
1951,-144.0
1953,-211.0
1954,-222.0
1959,-364.0
1960,-355.0
1961,-339.0
1962,-343.0
1963,-332.0
1964,-328.0
1965,-318.0
1966,-303.0
1967,-273.0
1968,-243.0
1969,-218.0
1970,-178.0
1971,-128.0
1972,-60.0
1973,-20.0
1974,15.0
1975,32.0
1976,32.0
1977,44.0
1978,50.0
1979,57.0
1980,64.0
1981,86.0
1982,151.0
1983,187.0
1984,187.0
1985,212.0
1986,197.0
1987,213.0
1988,211.0
1989,191.0
1990,182.0
1991,129.0
1992,79.0
1993,19.0
1994,-43.0
1995,-50.0
1996,-120.0
1997,-130.0
1998,-145.0
1999,-170.0
2009,-420.0
2012,-695.0
2014,-706.6
2015,-704.6
2016,-746.6
2017,-745.3000000000002
